,,,23.08348968,0.015056545,166.4859287,0.108592888,129.1219512,0.084221686,0.209102604,0.265366657,3.643233186
,itemA,itemB,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
0,Essentials Organic Mighty Greens Juice,Salt & Vinegar Potato Crisps,16,0.010436235,28,0.018263411,25,0.016306617,0.571428571,0.64,35.04274286
6,Organic Blackberry Blend Juice,Organic Strawberry Banana Juice,21,0.013697558,31,0.020220205,30,0.01956794,0.677419355,0.7,34.61883871
1,Essentials Organic Mighty Greens Juice,Pop-Tarts Frosted Brown Sugar Cinnamon Pastries,16,0.010436235,28,0.018263411,26,0.016958881,0.571428571,0.615384615,33.69494505
8,0 Calorie Fuji Apple Pear Water Beverage,0 Calorie Strawberry Dragonfruit Water Beverage,31,0.020220205,44,0.028699645,36,0.023481528,0.704545455,0.861111111,30.00424242
1660,Reduced Fat Mozzarella & Cheddar Polly-O Cheese Twists,Butter Puffcorn,19,0.012393029,50,0.032613233,20,0.013045293,0.38,0.95,29.12928
1665,Pink Grapefruit Sparkling Natural Mineral Water,Pink Grapefruit Sparkling Water with Juice,28,0.018263411,36,0.023481528,41,0.026742851,0.777777778,0.682926829,29.08357724
1667,Tonics Cleansing Probiotic Tonic With Apple Cider Vinegar Cinnamon,Real Vegetable Chips BBQ Sweets,21,0.013697558,43,0.028047381,27,0.017611146,0.488372093,0.777777778,27.73085271
1864,Quatro Formaggi Four Cheese Pizza,Mozzarella Cheese Shreds,20,0.013045293,39,0.025438322,29,0.018915675,0.512820513,0.689655172,27.11087533
1865,Original Vanilla Nutrition Shake,Oikos Greek Yogurt Traditional Lemon Meringue,17,0.011088499,36,0.023481528,27,0.017611146,0.472222222,0.62962963,26.81382716
1661,Reduced Fat Mozzarella & Cheddar Polly-O Cheese Twists,Caramel Hard Candies,34,0.022176999,50,0.032613233,39,0.025438322,0.68,0.871794872,26.73132308
1868,Oikos Greek Yogurt Traditional Lemon Meringue,Oikos Fat Free Strawberry Greek Yogurt,16,0.010436235,27,0.017611146,34,0.022176999,0.592592593,0.470588235,26.72104575
1869,Yuba Tofu Skin,Sea Salt Slow Roasted Pumpkin Seeds,16,0.010436235,47,0.030656439,20,0.013045293,0.340425532,0.8,26.09565957
1935,Moroccan Lentil Pie,Garbanzo Bean Curry Pie,20,0.013045293,36,0.023481528,34,0.022176999,0.555555556,0.588235294,25.05098039
1936,Kombucha Ginger Bottle,Peach Mint Kombucha,22,0.014349823,30,0.01956794,46,0.030004174,0.733333333,0.47826087,24.44104348
1662,Reduced Fat Mozzarella & Cheddar Polly-O Cheese Twists,Navel Oranges,17,0.011088499,50,0.032613233,22,0.014349823,0.34,0.772727273,23.69367273
1937,Classic Roast Coffee K-Cups,Baked Pizza Goldfish Crackers,18,0.011740764,51,0.033265498,23,0.015002087,0.352941176,0.782608696,23.52613811
2881,Healthy Request Condensed Soup Chicken With Rice,Original Strawberry Gelatin,18,0.011740764,36,0.023481528,36,0.023481528,0.5,0.5,21.29333333
1938,Panama Peach Antioxidant Infusion,Baked Pizza Goldfish Crackers,17,0.011088499,57,0.037179086,23,0.015002087,0.298245614,0.739130435,19.8802746
