user_id,customer type
19510,0
147319,0
85028,3
72168,0
142535,0
83752,0
84004,0
112113,0
184830,2
202319,0
83293,0
95187,0
140363,0
39030,0
175059,0
112830,0
121960,2
97973,0
142275,0
117167,0
5155,0
26666,4
43963,0
108007,0
69814,0
19378,0
38838,0
65737,0
177262,0
120582,2
154001,0
99386,0
167383,0
194884,0
50435,0
185528,0
123016,0
110084,0
83178,0
148681,0
54492,0
184517,0
143478,0
46367,0
144019,0
19786,0
59406,0
70729,0
34517,0
39832,0
60779,0
54136,0
120392,0
53078,0
403,0
186113,0
6126,0
170491,0
44817,0
25627,0
4844,0
7596,0
178016,2
52990,0
17939,0
33727,3
125536,0
135772,0
115247,0
118728,0
142137,0
29888,0
4607,0
36382,0
167653,2
88604,0
148754,0
191114,0
93038,0
93035,0
72402,2
169280,0
22614,0
30132,0
200355,0
161917,0
194639,0
145958,4
3318,0
8220,0
183640,0
198753,0
64512,0
99732,0
115621,0
25518,0
47590,0
31005,0
167833,0
40480,0
7699,0
64397,0
142304,0
165947,0
37063,0
32856,0
11307,0
201750,0
93573,0
35555,0
2501,0
119842,0
86506,0
148657,0
91361,0
128437,0
129430,0
48637,0
82782,0
170586,0
74126,0
112060,0
82290,0
154802,0
158335,0
43590,0
176063,0
177013,0
41637,0
166444,0
62658,0
141112,0
45902,0
180781,0
56956,0
119946,0
110653,0
41224,0
9792,0
201076,0
106363,0
144399,0
21731,0
30216,2
186507,0
25256,0
205031,0
109435,0
22034,0
83036,0
97861,0
182220,0
39452,0
104816,0
203982,0
107957,0
112109,0
169415,0
78904,0
116610,0
165014,0
28628,0
83319,0
186183,2
85094,0
110462,0
201695,0
144266,0
195912,0
78800,0
205417,2
156463,0
146879,0
201140,0
175565,2
143267,0
197269,0
175151,0
60315,0
61324,0
86987,0
45325,0
45813,0
114859,0
152574,0
170728,0
50279,0
53118,0
121645,0
10009,0
160546,2
168530,0
101289,0
205813,0
187713,0
115056,0
45029,0
95152,0
113277,0
98364,0
61010,0
96337,0
131957,0
26041,0
127518,3
132597,0
887,0
199341,0
100804,0
58417,0
142487,0
189162,0
30489,0
36609,0
6052,0
103716,2
151503,0
138536,0
55143,0
21020,0
134622,0
42218,0
7794,0
65547,0
162123,0
78855,0
89297,0
109794,0
37591,0
120840,0
13430,4
